name,address,phone,fax
3GL,"3GL P.O. Box 1506 Findlay, Ohio 45839",800-468-6061,419-422-8085
West Coast,5555 abc lane,555-555-5555,555-555-5555
"A Cooper Logistics, Inc.","A Cooper Logistics, Inc. 2020 Westside Court, STE A Snellville,GA 30078",866-306-3275,770-985-5813
"A-Direct Transport, Inc.","A-Direct Transport 20871 Johnson St. Suite 116 Pembroke Pines, FL 33029",954-214-2061,954-704-1650
A&A Transportation,"A&A Transportation 965 Piedmont Rd. NE Marietta, GA 30066 ATTN:Accounts Payable",770-794-7001,770-794-7171
Abba Freight Systems L.L.C,"Abba Freight Systems L.L.C. 2712 American Way Medford, OR 97504 ATTN:ACCOUNTS PAYABLE",866-779-9350,541-779-9085
Abdon Transportation Systems Inc.,"Abdon Transportation Systems Inc. 5245 Harvard St. W Lakeland, FL 33810 ATTN:Accounts Payable",863-853-1178,863-859-7581
"Absolute Delivery, Inc.","Absolute Delivery, Inc. 18 Margaret St. Parlin, NJ 08859 ATTN:ACCOUNTS PAYABLE",888-285-0500,732-727-9543
Access America Transport,"Access America Transport P.O. BOX 182215 Chattanooga, TN 37422 ATTN: ACCOUNTS PAYABLE",423-821-5044,555-555-5555
Accord Logistics Solutions Inc.,"Accord Logistics Solutions Inc. PO Box 8280 Fayetville,AR 72703-0005",479-857-8040,479-587-8308
"Acerra Transportation Group, Inc.","Acerra Transportation Group, Inc. P.O.Box 755 Locust Valley, NY 11560 ATTN: ACCOUNTS PAYABLE",516-759-4012,516-759-4029
"ACG Logistics, Inc.","ACG Logistics, Inc. 10 S Clinton Street #302 Doylestown, PA 395468 ATTN: ACCOUNTS PAYABLE",866-743-9454,267-880-3802
Acme Freight Brokers,"Acme Freight Brokers PO BOX 969 Pflugerville, TX 78691-0969 ATTN:Accounts Payable",337-233-3232,337-289-5264
"Addtran Logistics, Inc.","Addtran Logistics, Inc. PO Box 50396 Albany,GA 31703-0396",229-438-0141,229-438-7876
"Advance Transportation Systems, Inc.","Advance Transportation Systems, Inc. 1125 Glendale-Milford Road Cincinnati, OH 45215 ATTN: ACCOUNTS PAYABLE",513-771-4848,513-771-4877
Advance Truck Brokerage,"Advance Truck Brokerage PO BOX 5058 Spring Hill, FL 34611",352-835-7962,352-835-7967
Advantage Brokerage Corporation,"Advantage Brokerage Corporation 2469 Indian Hills Drive Loveland, CO, 80538",970-214-2280,970-315-0394
AES Logistics,"AES Logistics 140 SW 153rd Street Burien,WA 98166",877-890-2295,206-214-0352
AG Logistics Services,"AG Logistics Services 901 Oak Creek Drive Lombard, IL 60148-6408 ATTN: ACCOUNTS PAYABLE",630-396-7890,630-396-7894
"Agritech Logistics, Inc.","Agritech Logistics, Inc. 3194 AL Hwy 157 Cullman, AL 35058",256-735-1025,256-735-1021
AJC Logistics LLC,"AJC Logistics - Surface Transportation 5188 Roswell Road Atlanta, GA  30342",866-252-4790,404-942-1780
ALL,ALL,555-555-5555,555-555-5555
"All Point Logistics, LLC","All Point Logistics, LLC 6408 W 101st St. Overland Park, KS 66212 ATTN: ACCOUNTS PAYABLE",877-221-2333,816-221-2334
"All States Transport, Inc.","All States Transport, Inc. PO BOX 80029 Springfield,MA 01138",413-737-1402,413-732-2668
"All Trans Services, Inc.","All Trans Services, Inc. 2107 Stonehenge Dr. Greenbrier,TN 37073",615-643-3595,615-643-3693
"All-Ways Trucking, Inc.","All-Ways Trucking, Inc. 3639 Aviation Way Medford, OR 97504",800-888-6230,541-864-1333
"Allen Lund Company, Inc.","Allen Lund Company, Inc. PO Box 1369 Lanada, CA 91012",800-991-5863,804-327-9244
"AM Transport Services, Inc.","AM Transport Services, Inc. PO BOX 508 Olney, IL 62450",618-395-4880,888-298-6292
"American Freight Carrier Services, Inc.","American Freight Carrier Services, Inc. 77 Arkay Dr Suite E Hauppauge, NY 11788 ATTN: ACCOUNTS PAYABLE",631-385-1510,631-385-9312
American Freight Solutions,"American Freight Solutions 1841 Center Point Circle Naperville, IL 60563 ATTN: ACCOUNTS PAYABLE",630-527-9714,630-527-9986
American National Diversified,"American National Diversified 4856 I -30 West Caddo Mills, TX 75135",903-527-0420,903-527-0362
American Transportation Services Inc,"American Transportation Services Inc 18 Atlanta Ct. Mansfield, TX 76063",682-730-9502,281-214-1976
"Ameritrans, Inc.","Ameritrans, Inc. 1316 Brown Trail Bedford, TX 76022 ATTN: ACCOUNTS PAYABLE",817-545-0566,817-285-8614
Amino Transport,"Amino Transport 223 NE Loop 820, STE 101 Hurst,TX 76053",877-831-5068,682-463-0142
Amodei Brokerage Co.,"Amodei Brokerage Co. PO BOX 671 Marlton, NJ 08053-0671",856-874-1300,256-334-1717
APEX LA,"Apex Freight Services, Inc. Page 1 PO Box 82279 Lafayette,LA 70598",555-555-5555,555-555-5555
Apex Logistics,"Apex Logistics 3191 South Valley Street Salt Lake City, UT 84109",801-924-1850,801-684-0000
"Apex Transportation, Inc.","Apex Transportation, Inc. PO BOX 20068 Charlotte, NC 28202 ATTN: ACCOUNTS PAYABLE",704-375-2001,704-375-2012
Arco Freight LLC,"Arco Freight LLC 257 South 100 East Jerome, ID 83338",208-324-4706,208-324-4708
Argus Logistics L.L.C.,"Argus Logistics L.L.C. 46 West Colt Square Fayetteville, AR 72703 ATTN: ACCOUNTS PAYABLE",888-888-8281,479-718-2783
"Armstrong Transport Group, Inc.","Armstrong Transport Group, Inc. P.O. BOX 411 Concord, NC 28026 ATTN: ACCOUNTS PAYABLE",509-241-0412,877-275-1655
Arrow Stream Freight Services,"Arrow Stream Freight Services 231 S Lasalle St. ste 1700 Chicago, IL 60604",312-267-4390,312-267-4391
Arrowhead Transportation Services,"Arrowhead Transportation Services 2710 Caton Farm Road Joliet, IL 60435 ATTN: ACCOUNTS PAYABLE",815-676-3300,815-676-3330
ARVATO DIGITAL SERVICES,ARVATO DIGITAL SERVICES FAX 734-467-1169,800-677-6883,734-457-1169
ATL-Anderson Transportation & Logistics,"ATL-Anderson Transportation & Logistics 3300-D N. Main PMB 343 Anderson, SC 29621 ATTN: ACCOUNTS PAYABLE",706-356-7517,864-964-0854
"Atomic Transport, LLC","Atomic Transport, LLC 7366 N. Lincoln Ave. Suite 105 Lincolnwood, IL 60712 ATTN: ACCOUNTS PAYABLE",847-929-4358,847-739-7161
Avery Logistics,"Avery Logistics PO BOX 690 Dahlonega,GA 30533",706-864-5555,706-864-2424
Axis Global Systems,"Axis Global Systems attn: Maria Perez 46-35 54th Road Maspeth, NY 11378 ATTN: ACCOUNTS PAYABLE",555-555-5555,555-555-5555
"B&B Brokers, Inc.","B&B Brokers, Inc. 1156 Salt Creek Drive Ponte Vedra, FL 32082 ATTN: ACCOUNTS PAYABLE",904-285-4240,904-285-2241
"Backhaul Direct, LLC","Backhaul Direct, LLC 1 Virginia Ave. Suite 400 Indianapolis, IN  46204 ATTN: ACCOUNTS PAYABLE",317-974-9137,317-974-9138
BAT Logistics,"BAT Logistics 20 Arena Way, STE 2 Council Bluffs, IA 51501",712-256-7260,712-256-7265
Bauman Transportation Inc.,"Bauman Transportation Inc. PO Box 301 Moscow,PA 18444",866-342-3442,570-842-0742
Bay Transfer,"Bay Transfer 1912 Lincoln Drive Suite 7G Annapolis, MD 21401 ATTN: ACCOUNTS PAYABLE",410-942-9203,866-292-4608
Bear Transportation Services,"Bear Transportation Services 5340 Legacy Drive Suite 200 Plano, TX 75024 ATTN: ACCOUNTS PAYABLE",800-527-5380 X-8331,866-402-4591
Bee Line Logistics,"Bee Line Logistics 4566 State Route 11 Ellenburg Depot, NY 12935",800-594-7043,518-594-7127
"Berlin Logistics, LTD","Berlin Logistics, LTD 7576 SR 241 Millersburg, OH 44656 ATTN: ACCOUNTS PAYABLE",330-674-3395,330-674-5069
Big Red Brokerage,"Big Red Brokerage PO BOX 429 Seward,NE 68434",303-9201181,402-643-3690
"BirdDog Logistics Services, LLC","BirdDog Logistics Services, LLC 138 River Road, Suite 208 Andover, MA 01810 ATTN: ACCOUNTS PAYABLE",877-466-7642,877-466-7643
"Blackjack Express, Inc.","Blackjack Express, Inc. 304 Indian Trace Ste 611 Weston, FL 33326",555-555-5555,555-555-5555
Blisset Transportation,"Blisset Transportation 460 Meadow Lane Carlstadt, NJ 07072 ATTN: ACCOUNTS PAYABLE",973-736-1455,201-933-5050
Blue Grace Logistics,"Blue Grace Logistics 2846 S Falkenburg Rd Riverview,FL 33578",904-379-8597,904-443-0092
"Blue Line Logistics, Inc.","Blue Line Logistics, Inc. PO BOX 14261 St. Paul, MN     55114 ATTN: ACCOUNTS PAYABLE",651-414-0805,651-414-0846
Blue Water Logistics Corp.,"Blue Water Logistics Corp. 305 S. Andrews Ave STE 510 Fort Lauderdale,FL 33301",877-779-7782,954-779-7783
BNSF Logistics,"BNSF Logistics P.O.BOX 176 Versailles, OH 45380 ATTN: ACCOUNTS PAYABLE",800-576-0973,937-526-4010
Brock Transportation,"Brock Transportation 4374 Contractors Common STE A Livermore,CA 94551",(573) 881-2591,(573) 445-6297
Brubex Enterprises Inc.,"Brubex Enterprises Inc. 9621 Sterling Place St. Louis,MO 63123",314-544-1800,314-544-0126
Buchanan Logistics,"Buchanan Logistics 4625 Industrial Road Fort Wayne, IN ATTN: ACCOUNTS PAYABLE",555-555-5555,555-555-5555
"Bulk Plus Logistics, Inc.","Bulk Plus Logistics, Inc. 6108 McPherson Road, Suite 5 Laredo,TX 78041",956-726-4800,956-726-4805
"Cajunland Logistics, LLC.","Cajunland Logistics, LLC. 68361-1 Commercial Way S. Mandeville, LA 70471",888-809-7603,985-809-7655
Capacity & Service Solutions,"Capacity & Service Solutions 205 East Butterfield Road Suite 265 Elmhurst, IL    60126 ATTN: ACCOUNTS PAYABLE",800-701-8456,630-833-8569
Cardinal Logistics Management Corp.,"Cardinal Logistics Management Corp. 5333 Davidson Hwy Concord, NC 28027",704-789-2047,704-789-2031
"Cargo Care, Inc.","Cargo Care, Inc. P.O.Box 8968 Baltimore, MD 21222 ATTN: ACCOUNTS PAYABLE",410-388-0322,410-388-0805
"Cargo Systems, Inc.","Cargo Systems, Inc. 72 Willow St. Wethersfield, CT 06109 ATTN: ACCOUNTS PAYABLE",860-724-1968,860-522-8691
Caroll Fulmer Logistics Corporation,"Caroll Fulmer Logistics Corporation 8340 American Way Groveland, FL 34736 ATTN: ACCOUNTS PAYABLE",352-429-5000,352-429-1409
